Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
Ikiru,1952,,143 min,Drama,8.3,68463
Ladri di biciclette,1948,,89 min,Drama,8.3,146427
Double Indemnity,1944,Passed,107 min,"Crime, Drama, Film-Noir",8.3,143525
Citizen Kane,1941,UA,119 min,"Drama, Mystery",8.3,403351
M - Eine Stadt sucht einen Mörder,1931,Passed,117 min,"Crime, Mystery, Thriller",8.3,143434
Metropolis,1927,,153 min,"Drama, Sci-Fi",8.3,159992
The Kid,1921,Passed,68 min,"Comedy, Drama, Family",8.3,113314
Chhichhore,2019,UA,143 min,"Comedy, Drama",8.2,33893
Uri: The Surgical Strike,2018,UA,138 min,"Action, Drama, War",8.2,43444
K.G.F: Chapter 1,2018,UA,156 min,"Action, Drama",8.2,36680
Green Book,2018,UA,130 min,"Biography, Comedy, Drama",8.2,377884
"Three Billboards Outside Ebbing, Missouri",2017,A,115 min,"Comedy, Crime, Drama",8.2,432610
Talvar,2015,UA,132 min,"Crime, Drama, Mystery",8.2,31142
Baahubali 2: The Conclusion,2017,UA,167 min,"Action, Drama",8.2,75348
Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",8.2,104761
Drishyam,2015,UA,163 min,"Crime, Drama, Mystery",8.2,70367
Queen,2013,UA,146 min,"Adventure, Comedy, Drama",8.2,60701
Mandariinid,2013,,87 min,"Drama, War",8.2,40382
Bhaag Milkha Bhaag,2013,U,186 min,"Biography, Drama, Sport",8.2,61137
Gangs of Wasseypur,2012,A,321 min,"Action, Comedy, Crime",8.2,82365
Udaan,2010,UA,134 min,Drama,8.2,42341
Paan Singh Tomar,2012,UA,135 min,"Action, Biography, Crime",8.2,33237
El secreto de sus ojos,2009,R,129 min,"Drama, Mystery, Romance",8.2,193217
Warrior,2011,UA,140 min,"Action, Drama, Sport",8.2,435950
Shutter Island,2010,A,138 min,"Mystery, Thriller",8.2,1129894
Up,2009,U,96 min,"Animation, Adventure, Comedy",8.2,935507
The Wolf of Wall Street,2013,A,180 min,"Biography, Crime, Drama",8.2,1187498
Chak De! India,2007,U,153 min,"Drama, Family, Sport",8.2,74129
There Will Be Blood,2007,A,158 min,Drama,8.2,517359
Pan's Labyrinth,2006,UA,118 min,"Drama, Fantasy, War",8.2,618623
Toy Story 3,2010,U,103 min,"Animation, Adventure, Comedy",8.2,757032
V for Vendetta,2005,A,132 min,"Action, Drama, Sci-Fi",8.2,1032749
Rang De Basanti,2006,UA,167 min,"Comedy, Crime, Drama",8.2,111937
Black,2005,U,122 min,Drama,8.2,33354
Batman Begins,2005,UA,140 min,"Action, Adventure",8.2,1308302
"Swades: We, the People",2004,U,210 min,Drama,8.2,83005
Der Untergang,2004,R,156 min,"Biography, Drama, History",8.2,331308
Hauru no ugoku shiro,2004,U,119 min,"Animation, Adventure, Family",8.2,333915
A Beautiful Mind,2001,UA,135 min,"Biography, Drama",8.2,848920
Hera Pheri,2000,U,156 min,"Action, Comedy, Crime",8.2,57057
"Lock, Stock and Two Smoking Barrels",1998,A,107 min,"Action, Comedy, Crime",8.2,535216
L.A. Confidential,1997,A,138 min,"Crime, Drama, Mystery",8.2,531967
Eskiya,1996,,128 min,"Crime, Drama, Thriller",8.2,64118
Heat,1995,A,170 min,"Crime, Drama, Thriller",8.2,577113
Casino,1995,A,178 min,"Crime, Drama",8.2,466276
Andaz Apna Apna,1994,U,160 min,"Action, Comedy, Romance",8.2,49300
Unforgiven,1992,A,130 min,"Drama, Western",8.2,375935
Indiana Jones and the Last Crusade,1989,U,127 min,"Action, Adventure",8.2,692366
Dom za vesanje,1988,R,142 min,"Comedy, Crime, Drama",8.2,26402
Tonari no Totoro,1988,U,86 min,"Animation, Family, Fantasy",8.2,291180
Die Hard,1988,A,132 min,"Action, Thriller",8.2,793164
Ran,1985,U,162 min,"Action, Drama, War",8.2,112505
Raging Bull,1980,A,129 min,"Biography, Drama, Sport",8.2,321860
Stalker,1979,U,162 min,"Drama, Sci-Fi",8.2,116945
Höstsonaten,1978,U,99 min,"Drama, Music",8.2,26875
The Message,1976,PG,177 min,"Biography, Drama, History",8.2,43885
Sholay,1975,U,204 min,"Action, Adventure, Comedy",8.2,51284
Monty Python and the Holy Grail,1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2,500875
The Great Escape,1963,U,172 min,"Adventure, Drama, History",8.2,224730
To Kill a Mockingbird,1962,U,129 min,"Crime, Drama",8.2,293811
Yôjinbô,1961,,110 min,"Action, Drama, Thriller",8.2,111244
Judgment at Nuremberg,1961,A,179 min,"Drama, War",8.2,69458
Some Like It Hot,1959,U,121 min,"Comedy, Music, Romance",8.2,243943
Smultronstället,1957,U,91 min,"Drama, Romance",8.2,96381
Det sjunde inseglet,1957,A,96 min,"Drama, Fantasy, History",8.2,164939
Du rififi chez les hommes,1955,,118 min,"Crime, Drama, Thriller",8.2,28810
Dial M for Murder,1954,A,105 min,"Crime, Thriller",8.2,158335
Tôkyô monogatari,1953,U,136 min,Drama,8.2,53153
Rashômon,1950,,88 min,"Crime, Drama, Mystery",8.2,152572
All About Eve,1950,Passed,138 min,Drama,8.2,120539
The Treasure of the Sierra Madre,1948,Passed,126 min,"Adventure, Drama, Western",8.2,114304
To Be or Not to Be,1942,Passed,99 min,"Comedy, War",8.2,29915
The Gold Rush,1925,Passed,95 min,"Adventure, Comedy, Drama",8.2,101053
Sherlock Jr.,1924,Passed,45 min,"Action, Comedy, Romance",8.2,41985
Portrait de la jeune fille en feu,2019,R,122 min,"Drama, Romance",8.1,63134
Pink,2016,UA,136 min,"Drama, Thriller",8.1,39216
Koe no katachi,2016,16,130 min,"Animation, Drama, Family",8.1,47708
Contratiempo,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.1,141516
Ah-ga-ssi,2016,A,145 min,"Drama, Romance, Thriller",8.1,113649
Mommy,2014,R,139 min,Drama,8.1,50700
Haider,2014,UA,160 min,"Action, Crime, Drama",8.1,50445
Logan,2017,A,137 min,"Action, Drama, Sci-Fi",8.1,647884
Room,2015,R,118 min,"Drama, Thriller",8.1,371538
Relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1,177059
Soul,2020,U,100 min,"Animation, Adventure, Comedy",8.1,159171
Kis Uykusu,2014,,196 min,Drama,8.1,46547
PK,2014,UA,153 min,"Comedy, Drama, Musical",8.1,163061
OMG: Oh My God!,2012,U,125 min,"Comedy, Drama, Fantasy",8.1,51739
The Grand Budapest Hotel,2014,UA,99 min,"Adventure, Comedy, Crime",8.1,707630
Gone Girl,2014,A,149 min,"Drama, Mystery, Thriller",8.1,859695
Ôkami kodomo no Ame to Yuki,2012,U,117 min,"Animation, Drama, Fantasy",8.1,38803
Hacksaw Ridge,2016,A,139 min,"Biography, Drama, History",8.1,435928
Inside Out,2015,U,95 min,"Animation, Adventure, Comedy",8.1,616228
Barfi!,2012,U,151 min,"Comedy, Drama, Romance",8.1,75721
12 Years a Slave,2013,A,134 min,"Biography, Drama, History",8.1,640533
Rush,2013,UA,123 min,"Action, Biography, Drama",8.1,432811
Ford v Ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1,291289
Spotlight,2015,A,129 min,"Biography, Crime, Drama",8.1,420316
Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.1,51679
Kahaani,2012,UA,122 min,"Mystery, Thriller",8.1,57806
Zindagi Na Milegi Dobara,2011,U,155 min,"Comedy, Drama",8.1,67927
Prisoners,2013,A,153 min,"Crime, Drama, Mystery",8.1,601149
Mad Max: Fury Road,2015,UA,120 min,"Action, Adventure, Sci-Fi",8.1,882316
A Wednesday,2008,UA,104 min,"Action, Crime, Drama",8.1,73891
Gran Torino,2008,R,116 min,Drama,8.1,720450
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,"Adventure, Drama, Fantasy",8.1,764493
Okuribito,2008,PG-13,130 min,"Drama, Music",8.1,48582
Hachi: A Dog's Tale,2009,G,93 min,"Biography, Drama, Family",8.1,253575
Mary and Max,2009,,92 min,"Animation, Comedy, Drama",8.1,164462
How to Train Your Dragon,2010,U,98 min,"Animation, Action, Adventure",8.1,666773
Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1,572921
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.1,856916
Lage Raho Munna Bhai,2006,U,144 min,"Comedy, Drama, Romance",8.1,43137
Million Dollar Baby,2004,UA,132 min,"Drama, Sport",8.1,635975
Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,334320
Taegukgi hwinalrimyeo,2004,R,140 min,"Action, Drama, War",8.1,37820
Before Sunset,2004,R,80 min,"Drama, Romance",8.1,236311
Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama, Musical",8.1,73992
Salinui chueok,2003,UA,131 min,"Crime, Drama, Mystery",8.1,139558
Dil Chahta Hai,2001,Unrated,183 min,"Comedy, Drama, Romance",8.1,66803
Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Drama",8.1,1000639
Finding Nemo,2003,U,100 min,"Animation, Adventure, Comedy",8.1,949565
Catch Me If You Can,2002,A,141 min,"Biography, Crime, Drama",8.1,832846
Amores perros,2000,A,154 min,"Drama, Thriller",8.1,223741
"Monsters, Inc.",2001,U,92 min,"Animation, Adventure, Comedy",8.1,815505
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87 min,"Animation, Action, Drama",8.1,38847
